annee,mois,num_jour,jour,nb_naiss_jour,phase_(deg)
1968,Janvier,1,lundi,2080,162.8823
1968,Janvier,2,mardi,2319,150.3425
1968,Janvier,3,mercredi,2335,138.0308
1968,Janvier,4,jeudi,2338,126.0809
1968,Janvier,5,vendredi,2319,114.4948
1968,Janvier,6,samedi,2212,103.2281
1968,Janvier,7,dimanche,2083,92.212
1968,Janvier,8,lundi,2252,81.3665
1968,Janvier,9,mardi,2261,70.608
1968,Janvier,10,mercredi,2295,59.8563
1968,Janvier,11,jeudi,2233,49.0413
1968,Janvier,12,vendredi,2284,38.1105
1968,Janvier,13,samedi,2168,27.0475
1968,Janvier,14,dimanche,2166,15.9544
1968,Janvier,15,lundi,2366,6.0773
1968,Janvier,16,mardi,2368,9.7993
1968,Janvier,17,mercredi,2331,21.1886
1968,Janvier,18,jeudi,2267,33.3359
1968,Janvier,19,vendredi,2286,45.7845
1968,Janvier,20,samedi,2301,58.4348
1968,Janvier,21,dimanche,2139,71.2421
1968,Janvier,22,lundi,2268,84.1786
1968,Janvier,23,mardi,2290,97.2216
1968,Janvier,24,mercredi,2345,110.3454
1968,Janvier,25,jeudi,2254,123.5128
1968,Janvier,26,vendredi,2324,136.6667
1968,Janvier,27,samedi,2303,149.7168
1968,Janvier,28,dimanche,2232,162.4744
1968,Janvier,29,lundi,2335,173.7457
1968,Janvier,30,mardi,2352,170.1573
1968,Janvier,31,mercredi,2303,158.5799
1968,Février,1,jeudi,2327,146.8222
1968,Février,2,vendredi,2399,135.2855
1968,Février,3,samedi,2228,124.0065
1968,Février,4,dimanche,2198,112.9536
1968,Février,5,lundi,2391,102.0668
1968,Février,6,mardi,2516,91.2704
1968,Février,7,mercredi,2398,80.4818
1968,Février,8,jeudi,2402,69.6173
1968,Février,9,vendredi,2515,58.5982
1968,Février,10,samedi,2410,47.3576
1968,Février,11,dimanche,2189,35.8513
1968,Février,12,lundi,2268,24.0803
1968,Février,13,mardi,2359,12.223
1968,Février,14,mercredi,2396,4.3094
1968,Février,15,jeudi,2392,14.4979
1968,Février,16,vendredi,2298,27.2407
1968,Février,17,samedi,2204,40.3091
1968,Février,18,dimanche,2136,53.4934
1968,Février,19,lundi,2299,66.6993
1968,Février,20,mardi,2372,79.8669
1968,Février,21,mercredi,2290,92.957
1968,Février,22,jeudi,2247,105.9442
1968,Février,23,vendredi,2286,118.8092
1968,Février,24,samedi,2342,131.532
1968,Février,25,dimanche,2081,144.0848
1968,Février,26,lundi,2296,156.4187
1968,Février,27,mardi,2272,168.3788
1968,Février,28,mercredi,2261,176.5376
1968,Février,29,jeudi,2305,166.9472
1968,Mars,1,vendredi,2371,155.6432
1968,Mars,2,samedi,2385,144.4342
1968,Mars,3,dimanche,2200,133.3863
1968,Mars,4,lundi,2394,122.4733
1968,Mars,5,mardi,2391,111.6408
1968,Mars,6,mercredi,2416,100.8183
1968,Mars,7,jeudi,2386,89.9259
1968,Mars,8,vendredi,2352,78.8791
1968,Mars,9,samedi,2454,67.5947
1968,Mars,10,dimanche,2235,55.998
1968,Mars,11,lundi,2470,44.0309
1968,Mars,12,mardi,2389,31.6637
1968,Mars,13,mercredi,2269,18.9147
1968,Mars,14,jeudi,2399,6.0207
1968,Mars,15,vendredi,2409,8.1438
1968,Mars,16,samedi,2477,21.6173
1968,Mars,17,dimanche,2274,35.2991
1968,Mars,18,lundi,2391,48.9523
1968,Mars,19,mardi,2450,62.4632
1968,Mars,20,mercredi,2442,75.7593
1968,Mars,21,jeudi,2473,88.8024
1968,Mars,22,vendredi,2355,101.5814
1968,Mars,23,samedi,2370,114.1035
1968,Mars,24,dimanche,2174,126.3851
1968,Mars,25,lundi,2501,138.4445
1968,Mars,26,mardi,2441,150.2972
1968,Mars,27,mercredi,2294,161.9528
1968,Mars,28,jeudi,2356,173.3937
1968,Mars,29,vendredi,2441,175.1304
1968,Mars,30,samedi,2456,164.0372
1968,Mars,31,dimanche,2288,153.0247
1968,Avril,1,lundi,2448,142.108
1968,Avril,2,mardi,2361,131.2488
1968,Avril,3,mercredi,2381,120.3931
1968,Avril,4,jeudi,2370,109.475
1968,Avril,5,vendredi,2344,98.4193
1968,Avril,6,samedi,2454,87.145
1968,Avril,7,dimanche,2208,75.5704
1968,Avril,8,lundi,2344,63.6209
1968,Avril,9,mardi,2348,51.2387
1968,Avril,10,mercredi,2344,38.3948
1968,Avril,11,jeudi,2434,25.1011
1968,Avril,12,vendredi,2414,11.4201
1968,Avril,13,samedi,2435,2.5893
1968,Avril,14,dimanche,2275,16.6619
1968,Avril,15,lundi,2285,30.7367
1968,Avril,16,mardi,2516,44.6398
1968,Avril,17,mercredi,2464,58.2553
1968,Avril,18,jeudi,2399,71.5128
1968,Avril,19,vendredi,2431,84.3861
1968,Avril,20,samedi,2502,96.8846
1968,Avril,21,dimanche,2391,109.041
1968,Avril,22,lundi,2518,120.9
1968,Avril,23,mardi,2427,132.5092
1968,Avril,24,mercredi,2358,143.9121
1968,Avril,25,jeudi,2286,155.1434
1968,Avril,26,vendredi,2356,166.2166
1968,Avril,27,samedi,2404,176.8491
1968,Avril,28,dimanche,2268,171.5498
1968,Avril,29,lundi,2495,160.7517
1968,Avril,30,mardi,2459,149.9013
1968,Mai,1,mercredi,2409,139.0152
1968,Mai,2,jeudi,2466,128.0549
1968,Mai,3,vendredi,2421,116.966
1968,Mai,4,samedi,2551,105.684
1968,Mai,5,dimanche,2303,94.1377
1968,Mai,6,lundi,2563,82.2555
1968,Mai,7,mardi,2447,69.9728
1968,Mai,8,mercredi,2474,57.2445
1968,Mai,9,jeudi,2428,44.0591
1968,Mai,10,vendredi,2547,30.4573
1968,Mai,11,samedi,2478,16.573
1968,Mai,12,dimanche,2278,3.5488
1968,Mai,13,lundi,2499,12.5016
1968,Mai,14,mardi,2584,26.4795
1968,Mai,15,mercredi,2537,40.3056
1968,Mai,16,jeudi,2440,53.7741
1968,Mai,17,vendredi,2410,66.8099
1968,Mai,18,samedi,2387,79.3984
1968,Mai,19,dimanche,2250,91.5657
1968,Mai,20,lundi,2526,103.3631
1968,Mai,21,mardi,2384,114.8535
1968,Mai,22,mercredi,2419,126.1015
1968,Mai,23,jeudi,2301,137.1655
1968,Mai,24,vendredi,2483,148.0897
1968,Mai,25,samedi,2364,158.8851
1968,Mai,26,dimanche,2397,169.4053
1968,Mai,27,lundi,2377,176.0426
1968,Mai,28,mardi,2427,167.4681
1968,Mai,29,mercredi,2470,156.7636
1968,Mai,30,jeudi,2333,145.7864
1968,Mai,31,vendredi,2364,134.6286
1968,Juin,1,samedi,2359,123.2754
1968,Juin,2,dimanche,2237,111.6863
1968,Juin,3,lundi,2215,99.8109
1968,Juin,4,mardi,2206,87.5973
1968,Juin,5,mercredi,2323,75.0019
1968,Juin,6,jeudi,2412,62.0015
1968,Juin,7,vendredi,2329,48.6089
1968,Juin,8,samedi,2255,34.8927
1968,Juin,9,dimanche,2243,21.0254
1968,Juin,10,lundi,2284,7.7858
1968,Juin,11,mardi,2347,9.0125
1968,Juin,12,mercredi,2321,22.2128
1968,Juin,13,jeudi,2301,35.6457
1968,Juin,14,vendredi,2303,48.75
1968,Juin,15,samedi,2404,61.4231
1968,Juin,16,dimanche,2337,73.6544
1968,Juin,17,lundi,2394,85.4792
1968,Juin,18,mardi,2441,96.9582
1968,Juin,19,mercredi,2461,108.1639
1968,Juin,20,jeudi,2394,119.1706
1968,Juin,21,vendredi,2224,130.0467
1968,Juin,22,samedi,2338,140.8472
1968,Juin,23,dimanche,2209,151.6011
1968,Juin,24,lundi,2402,162.2583
1968,Juin,25,mardi,2423,172.2118
1968,Juin,26,mercredi,2447,172.9125
1968,Juin,27,jeudi,2475,162.9127
