Département;Nom commune;Taille;Population 2006;Population 2011;Population 2016
29;Brest;50000 ou plus;144548;140547;139342
29;Quimper;50000 ou plus;64902;63235;63405
29;Argol;De 1000 à 1999;796;942;1010
29;Arzano;De 1000 à 1999;1325;1402;1390
29;Baye;De 1000 à 1999;1064;1135;1149
29;Beuzec-Cap-Sizun;De 1000 à 1999;1074;1054;1003
29;Bodilis;De 1000 à 1999;1493;1563;1603
29;Brasparts;De 1000 à 1999;1026;1035;1033
29;Plounéour-Brignogan-plages;De 1000 à 1999;2043;2019;1928
29;Cast;De 1000 à 1999;1483;1593;1588
29;Cléden-Poher;De 1000 à 1999;1030;1104;1142
29;Coat-Méal;De 1000 à 1999;934;1034;1091
29;Commana;De 1000 à 1999;995;1134;1031
29;Coray;De 1000 à 1999;1759;1867;1903
29;Daoulas;De 1000 à 1999;1743;1779;1792
29;Le Drennec;De 1000 à 1999;1707;1793;1818
29;Le Faou;De 1000 à 1999;1669;1716;1717
29;La Forest-Landerneau;De 1000 à 1999;1752;1823;1849
29;Garlan;De 1000 à 1999;918;1001;1056
29;Gouézec;De 1000 à 1999;1049;1123;1100
29;Guengat;De 1000 à 1999;1688;1659;1759
29;Guerlesquin;De 1000 à 1999;1434;1377;1343
29;Guimiliau;De 1000 à 1999;921;1007;1016
29;Henvic;De 1000 à 1999;1275;1298;1333
29;Huelgoat;De 1000 à 1999;1622;1605;1490
29;Irvillac;De 1000 à 1999;1243;1364;1429
29;Kernilis;De 1000 à 1999;1185;1388;1466
29;Kersaint-Plabennec;De 1000 à 1999;1234;1330;1420
29;Landrévarzec;De 1000 à 1999;1560;1714;1836
29;Landudec;De 1000 à 1999;1262;1344;1419
29;Landunvez;De 1000 à 1999;1334;1439;1479
29;Lanhouarneau;De 1000 à 1999;1016;1207;1316
29;Lanrivoaré;De 1000 à 1999;1333;1451;1465
29;Locquirec;De 1000 à 1999;1405;1436;1402
29;Locunolé;De 1000 à 1999;950;1129;1152
29;Pencran;De 1000 à 1999;1425;1779;1946
29;Plogastel-Saint-Germain;De 1000 à 1999;1768;1848;1929
29;Plogoff;De 1000 à 1999;1410;1300;1230
29;Plonévez-Porzay;De 1000 à 1999;1656;1755;1769
29;Plouégat-Guérand;De 1000 à 1999;1012;1089;1067
29;Plouezoc'h;De 1000 à 1999;1587;1573;1592
29;Plougoulm;De 1000 à 1999;1751;1790;1766
29;Plougourvest;De 1000 à 1999;1219;1337;1400
29;Plouider;De 1000 à 1999;1899;2003;1872
29;Plounéour-Ménez;De 1000 à 1999;1182;1287;1250
29;Plounévézel;De 1000 à 1999;1064;1186;1254
29;Plourin;De 1000 à 1999;1113;1211;1245
29;Plouzévédé;De 1000 à 1999;1546;1728;1779
29;Pont-Croix;De 1000 à 1999;1695;1682;1583
29;Porspoder;De 1000 à 1999;1609;1764;1817
29;Pouldergat;De 1000 à 1999;1246;1242;1215
29;Poullan-sur-Mer;De 1000 à 1999;1489;1548;1516
29;Poullaouen;De 1000 à 1999;1379;1407;1271
29;Quéménéven;De 1000 à 1999;1149;1141;1119
29;Querrien;De 1000 à 1999;1659;1718;1748
29;La Roche-Maurice;De 1000 à 1999;1851;1910;1844
29;Saint-Divy;De 1000 à 1999;1321;1384;1540
29;Saint-Ségal;De 1000 à 1999;926;1009;1070
29;Sainte-Sève;De 1000 à 1999;866;874;1002
29;Saint-Thonan;De 1000 à 1999;1302;1442;1755
29;Saint-Thurien;De 1000 à 1999;869;997;1026
29;Saint-Urbain;De 1000 à 1999;1385;1528;1637
29;Sibiril;De 1000 à 1999;1218;1230;1213
29;Spézet;De 1000 à 1999;1887;1804;1832
29;Tourch;De 1000 à 1999;875;988;1038
29;Tréméoc;De 1000 à 1999;1107;1264;1339
29;Le Trévoux;De 1000 à 1999;1368;1500;1617
29;Concarneau;De 10000 à 19999;19953;18826;19046
29;Douarnenez;De 10000 à 19999;15608;14815;14063
29;Guipavas;De 10000 à 19999;13633;13414;14466
29;Landerneau;De 10000 à 19999;14927;15148;15836
29;Morlaix;De 10000 à 19999;15695;15549;14721
29;Plougastel-Daoulas;De 10000 à 19999;12880;13264;13349
29;Plouzané;De 10000 à 19999;11742;11928;12763
29;Quimperlé;De 10000 à 19999;10725;12156;12034
29;Le Relecq-Kerhuon;De 10000 à 19999;10659;10849;11434
29;Bohars;De 2000 à 3499;3288;3437;3474
29;Camaret-sur-Mer;De 2000 à 3499;2624;2618;2586
29;Carantec;De 2000 à 3499;3088;3129;3148
29;Clohars-Fouesnant;De 2000 à 3499;2062;2260;2037
29;Le Conquet;De 2000 à 3499;2543;2688;2678
29;Dinéault;De 2000 à 3499;1699;1756;2169
29;Dirinon;De 2000 à 3499;2443;2428;2294
29;Edern;De 2000 à 3499;1969;2125;2200
29;Elliant;De 2000 à 3499;3078;3206;3234
29;Le Folgoët;De 2000 à 3499;3045;3101;3172
29;La Forêt-Fouesnant;De 2000 à 3499;3161;3300;3332
29;Gouesnach;De 2000 à 3499;2445;2568;2761
29;Guiclan;De 2000 à 3499;2124;2289;2487
29;Guilvinec;De 2000 à 3499;3033;2934;2684
29;Guissény;De 2000 à 3499;1796;2026;2002
29;Hanvec;De 2000 à 3499;1867;1959;2020
29;Hôpital-Camfrout;De 2000 à 3499;1869;2173;2230
29;Kerlouan;De 2000 à 3499;2257;2257;2163
